spotify_track_uri,ts,platform,ms_played,track_name,artist_name,album_name,reason_start,reason_end,shuffle,skipped
4EWCNWgDS8707fNSZ1oaA5,12/14/2024 22:05,mac,210855,Heartless,Kanye West,808s & Heartbreak,trackdone,trackdone,TRUE,FALSE
5Ud052GEuKn5WmU24wtQvB,12/14/2024 22:08,mac,176838,I'm Alive,Johnny Thunder,American Animals (Original Motion Picture Soundtrack),trackdone,trackdone,TRUE,FALSE
2jvuMDqBK04WvCYYz5qjvG,12/14/2024 22:25,mac,1025235,Dogs,Pink Floyd,Animals,trackdone,trackdone,TRUE,FALSE
4qQmFPd3JxXQPdUdERVudK,12/14/2024 22:30,mac,298483,L.A. Freeway,Guy Clark,The Essential Guy Clark,trackdone,trackdone,TRUE,FALSE
4qWQPFK9AtqqxJqGicATHv,12/15/2024 18:56,android,72536,If Everyone Cared,Nickelback,All the Right Reasons,appload,trackdone,TRUE,FALSE
0UOguLYTbPVXplQwFBpaDH,12/15/2024 18:59,android,136826,Sweet Hitch-Hiker,Creedence Clearwater Revival,Mardi Gras,trackdone,fwdbtn,TRUE,TRUE
05Ez6KwjICkscWQVTsT3f5,12/15/2024 21:04,android,241346,I Will Be Found (Lost At Sea),John Mayer,Paradise Valley,fwdbtn,trackdone,TRUE,FALSE
66YHxyGAUGjMBDdrDlWIMD,12/15/2024 21:05,android,37225,One of My Turns,Pink Floyd,The Wall,trackdone,endplay,TRUE,TRUE
66YHxyGAUGjMBDdrDlWIMD,12/15/2024 22:51,android,180592,One of My Turns,Pink Floyd,The Wall,remote,trackdone,TRUE,FALSE
6xphDvC3ctr99cgNFKErB4,12/15/2024 22:55,android,219600,Our Last Days,The Fray,Helios,trackdone,trackdone,TRUE,FALSE
0nH5hlHtKfkCnF0cXIGBik,12/15/2024 22:57,android,105659,Sad Song - Acoustic,Liam Gallagher,Acoustic Sessions,trackdone,fwdbtn,TRUE,TRUE
6PCUP3dWmTjcTtXY02oFdT,12/15/2024 22:57,android,1228,Castle on the Hill,Ed Sheeran,O ,fwdbtn,fwdbtn,TRUE,TRUE
0vZ97gHhemKm6c64hTfJNA,12/15/2024 22:57,android,1219,Hello- Goodbye - Remastered 2009,The Beatles,Magical Mystery Tour,fwdbtn,fwdbtn,TRUE,TRUE
41XiurZlYzjsKtQUG8VS5L,12/15/2024 22:57,android,1188,Puccini: La bohäme-Act I: Che gelida manina,Giacomo Puccini,Pavarotti Forever,fwdbtn,fwdbtn,TRUE,TRUE
5ddXMXmXZ2FN4iliTG20nO,12/15/2024 22:57,android,1527,Emoji of a Wave,John Mayer,The Search for Everything,fwdbtn,fwdbtn,TRUE,TRUE
3IYAT3Rtlyqlo4ndbugxfl,12/15/2024 23:00,android,185373,17,Kings of Leon,Only By The Night,fwdbtn,trackdone,TRUE,FALSE
3F34I6GIzPjDUMSHVpo7RP,12/15/2024 23:05,android,280293,Get Out While You Can,James Bay,Chaos And The Calm,trackdone,trackdone,TRUE,FALSE
0rpSIjKSmZ2SFO6vmLJpXl,12/15/2024 23:05,android,24162,Reunion of Friends,John Williams,Harry Potter and The Chamber of Secrets/ Original Motion Picture Soundtrack,trackdone,fwdbtn,TRUE,TRUE
3G5iN5QBqMeXx3uZPy8tgB,12/15/2024 23:05,android,4368,Young Girls,Bruno Mars,Unorthodox Jukebox,fwdbtn,fwdbtn,TRUE,TRUE
4Wgj6jzoI2gYlumXdYAB8U,12/15/2024 23:05,android,1366,The National Anthem,Radiohead,Kid A,fwdbtn,fwdbtn,TRUE,TRUE
6mR0ZA4DxvAHBihaXgI3oD,12/15/2024 23:05,android,1612,Tierra,Xoel Lopez,Atl†ntico,fwdbtn,fwdbtn,TRUE,TRUE
